År;Uge;Bekæftede tilfælde beboere;Dødsfald blandt bekæftede beboere;Bekræftede tilfælde blandt beboere, som har påbegyndt vaccination;Bekræftede tilfælde blandt færdigvaccinerede beboere;Plejehjem med bekæftede tilfælde;Testede beboere;Plejehjem med testede beboere
2020;11;    7;  0;  0;  0;  6;    116;107
2020;12;   24;  3;  0;  0; 16;    253;189
2020;13;   66; 15;  0;  0; 29;    431;250
2020;14;  144; 34;  0;  0; 43;  1.131;361
2020;15;   84; 37;  0;  0; 34;    703;337
2020;16;   76; 30;  0;  0; 34;    913;341
2020;17;   80; 26;  0;  0; 34;  2.289;457
2020;18;   37; 25;  0;  0; 22;  2.468;485
2020;19;   20; 19;  0;  0; 15;  3.094;492
2020;20;   11;  9;  0;  0;  9;  2.527;477
2020;21;    7;  3;  0;  0;  4;  1.606;483
2020;22;   10;  4;  0;  0;  3;  1.521;430
2020;23;    3;  4;  0;  0;  2;  1.258;453
2020;24;   15;  1;  0;  0;  2;  1.056;439
2020;25;    7;  1;  0;  0;  5;  1.865;488
2020;26;    2;  2;  0;  0;  2;  1.905;504
2020;27;    4;  1;  0;  0;  3;  1.727;506
2020;28;    1;  1;  0;  0;  1;  1.546;479
2020;29;    5;  0;  0;  0;  2;  1.190;499
2020;30;    2;  1;  0;  0;  2;  1.236;478
2020;31;    0;  0;  0;  0;  0;  1.574;499
2020;32;    1;  2;  0;  0;  1;  1.622;544
2020;33;    0;  1;  0;  0;  0;  1.476;556
2020;34;    1;  0;  0;  0;  1;  1.335;542
2020;35;    0;  0;  0;  0;  0;  1.298;496
2020;36;    3;  0;  0;  0;  3;  1.326;534
2020;37;   15;  0;  0;  0;  8;  2.157;564
2020;38;   19;  5;  0;  0;  8;  2.948;569
2020;39;   21;  3;  0;  0; 10;  3.152;566
2020;40;   12;  5;  0;  0;  6;  2.962;572
2020;41;   13;  3;  0;  0; 11;  2.603;549
2020;42;   14;  7;  0;  0;  8;  2.663;523
2020;43;   28;  7;  0;  0; 11;  3.593;561
2020;44;   30;  2;  0;  0; 18;  4.619;569
2020;45;   33;  8;  0;  0; 20;  5.446;575
2020;46;   51;  8;  0;  0; 20;  5.674;570
2020;47;   84; 10;  0;  0; 29;  6.890;602
2020;48;   96; 11;  0;  0; 25;  6.378;590
2020;49;  118; 21;  0;  0; 36;  7.386;641
2020;50;  216; 22;  0;  0; 59;  7.811;611
2020;51;  316; 48;  0;  0;104; 10.136;657
2020;52;  405; 62;  0;  0;117; 10.206;620
2020;53;  468; 87; 95;  0;126; 11.194;618
2021;1;  469; 81;349;  0;127; 11.969;643
2021;2;  349;110;329;  0;102; 11.860;624
2021;3;  159; 80;133;  6; 72; 10.163;662
2021;4;   85; 54; 47; 32; 54;  8.276;608
2021;5;   47; 38;  7; 33; 22;  7.102;596
2021;6;   13; 23;  0; 12;  8;  5.506;575
2021;7;    6;  7;  0;  4;  6;  4.109;555
2021;8;    8;  2;  0;  8;  5;  3.457;538
2021;9;    5;  0;  0;  5;  4;  3.100;567
2021;10;    1;  2;  0;  1;  1;  3.158;570
2021;11;    3;  0;  2;  1;  3;  3.052;568
2021;12;    4;  0;  0;  3;  4;  2.660;566
2021;13;    2;  0;  0;  2;  2;  1.714;498
2021;14;   14;  1;  0; 12;  8;  1.789;513
2021;15;   17;  3;  0; 14;  9;  2.855;549
2021;16;   15;  3;  2; 13;  8;  2.855;527
2021;17;    7;  3;  0;  7;  6;  2.571;537
2021;18;    7;  0;  0;  6;  4;  2.750;542
2021;19;    7;  1;  0;  5;  7;  2.140;463
2021;20;    1;  1;  0;  0;  1;  2.208;430
2021;21;    1;  0;  0;  1;  1;  1.504;375
2021;22;   14;  0;  0; 14;  2;  1.620;347
2021;23;    5;  1;  0;  4;  5;  1.435;324
2021;24;    3;  0;  0;  3;  2;  1.029;272
2021;25;    0;  0;  0;  0;  0;    787;247
2021;26;    0;  0;  0;  0;  0;  1.121;231
2021;27;    5;  0;  0;  5;  2;  1.336;244
I alt;;3.796;938;964;191;412;235.410;948
