Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 37;1429356;133270;4300331;4246449;1322702;114834;4103183;4054565;1292;74;782;772;17;0;11;10;37;5;43;43
Uge 36;1442573;168086;4252955;4155802;1338392;147361;4062378;3972733;1907;173;1101;1071;40;2;8;8;85;9;59;58
Uge 35;1461976;232456;4170242;3999082;1358848;208328;3988016;3827749;2661;271;1476;1420;56;5;16;14;125;13;47;45
Uge 34;1491643;340366;4033140;3770782;1388285;311718;3861716;3613622;3998;469;1699;1583;82;5;12;11;127;11;59;59
Uge 33;1529303;512430;3823697;3478599;1424536;476906;3665658;3339463;4461;665;1661;1437;101;2;11;9;150;13;58;57
Uge 32;1575901;803111;3487013;3242918;1470387;755147;3349053;3118757;4150;1077;1569;1242;102;3;14;11;118;29;37;34
Uge 31;1649629;1000025;3216706;2991874;1541314;943179;3094426;2881678;3613;1353;1324;1036;85;7;6;3;71;14;36;34
Uge 30;1764792;1128192;2974627;2697372;1651005;1065875;2865580;2602382;3053;1945;1199;856;75;10;12;10;68;21;23;22
Uge 29;1940127;1269666;2658098;2390705;1817759;1201135;2565055;2309816;2493;1946;805;586;45;8;4;3;66;11;18;17
Uge 28;2167307;1348639;2352354;2136006;2034789;1277903;2273299;2065825;3116;2805;856;597;56;18;15;13;68;15;17;17
Uge 27;2444129;1310248;2114083;1862434;2299402;1244793;2044987;1803634;2344;1791;444;350;49;10;6;6;41;11;8;6
Uge 26;2613707;1402853;1852867;1654437;2463941;1337101;1794910;1604096;1505;975;175;131;20;8;4;3;28;5;4;3
Uge 25;2835786;1380319;1653601;1493562;2679986;1319248;1603568;1448767;888;337;68;49;10;1;1;1;28;9;7;5
Uge 24;3139344;1225765;1504760;1366745;2974612;1175573;1459660;1325706;1259;292;83;57;15;5;2;2;59;8;10;8
Uge 23;3473906;1023949;1372089;1257551;3300869;985080;1330972;1220380;2341;357;90;66;30;3;6;5;66;16;8;8
Uge 22;3734883;880120;1255194;1175731;3557077;848300;1218103;1141842;4091;419;114;96;31;4;6;6;21;6;9;9
