Aldersgruppe;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt
12-15;161,8;43;3,8;3,2;188,4;77,2;11,8;5,2;299,5;108,4;19,3;19,8;437,5;148,8;48,8;38,6;429,3;139,7;92,1;0;293,2;114,9;165,6;0;215,4;94,5;0;0;149,3;85,4;0;0;115,4;157,6;0;0;86,8;1087;0;0;53;0;0;0;25;0;0;0;22,4;0;0;0;36,4;0;0;0;67,3;0;0;0;113,2;0;0;0
16-19;155,7;31,7;3,7;3,3;250,6;42,8;13,8;11,8;329,5;179,6;22,3;21;505,9;164,2;38,1;33,2;600,2;153,2;50,5;45,5;650,3;195,9;63,7;46,9;528,5;167,7;65,6;41,4;339,7;185,1;85,1;54,4;253,2;170,3;104,4;87,7;237,3;218,7;459;172,1;158,7;176,2;343,9;182,5;86,6;112,5;46,1;0;37,5;27,9;0;0;51,6;50,9;0;0;92,4;153,8;0;0;220,3;496,8;0;0
20-29;114,9;37,1;19,4;19,5;182,4;105,4;28,7;29,8;225,2;103,5;35,7;35,6;319,5;107;39,9;40,3;416,9;122;64,6;64,2;532,7;180,1;108,3;89,9;484,6;202,5;166,6;142,3;448,7;320,5;238,9;205,7;327,4;303,3;259;224,8;398;493,2;364,6;277,1;227,7;408,9;169,1;163,1;135,1;275;58,4;55,1;52,6;108,2;15,6;11,3;65,5;128,3;25,3;8,5;125,6;225,3;25,5;20,8;196,8;137,5;24,7;13,3
30-39;112,7;82,6;23,9;24,1;172,7;112,8;35,6;36,1;220,9;98,7;48,2;51,4;285,3;131,1;56,6;67,6;337,4;104,4;74,4;92,2;315,6;91,2;96,9;102,2;265,8;92,4;95,8;94;192,4;112,2;116,3;114,5;135,5;111,9;69,1;71,5;158,1;214,7;140,4;139,4;110;175,2;80,4;78,2;66,4;83,1;42,4;40;41,6;56,5;20,3;14,6;43,5;10,8;16,9;3,3;63,1;42,2;19,9;7,2;90,3;68;24,5;26,4
40-49;106,6;63,3;26,4;26,4;150,6;157,2;34,7;34,7;230,7;212;55,1;55,8;345,3;171,6;77,8;77,4;305,8;196,5;59,5;57,6;289,3;152,5;65,1;56,6;273,9;121,6;51,1;48,8;189,9;83;49,7;49,9;100,1;60,4;50,2;53,3;88,4;65,4;66,4;47,5;63,4;55,2;42,3;39,5;34,7;37,5;14,5;14,9;25,9;26,5;3,2;2,2;30,2;44,8;9,8;9,5;53,1;83,6;14,9;15,3;92,1;158,7;21,1;20,1
50-59;79,2;55,2;18,2;18;134,7;172,5;25,2;25;160,7;85,3;41,3;40,9;218,2;252,1;40,1;40;232,9;178;40,3;39,9;223,5;189,9;35,1;34,1;202,8;165,5;28,9;28,5;133,4;93,7;24,2;23,5;80,5;46,1;19,8;19,6;98,9;51,1;31,3;28,4;54,5;41,3;28;23,2;27,6;19,9;20,7;10,2;18,4;12,2;8;7;40,7;14,8;10,4;10,9;43,9;35,6;7,2;7,7;52,6;76,3;19,8;21,4
60-69;49,9;91,7;17,2;17,3;90,2;114,6;21,3;21,3;97,9;0;26,2;26,3;133;112,7;28;27,9;108,8;199;30,9;31;109,8;39,5;24,1;23,9;70,2;54,8;19,5;19,5;79,3;116,7;18,2;18,2;38,5;37,5;11,4;11,3;39,9;23,8;11;10,6;47,6;13,2;9;9,1;13,8;12,2;4,8;4,8;8,7;4,8;3,4;3;16;8,2;5,4;6,6;32,5;15,4;9,8;6,9;33,3;21,7;11,7;7,4
70-79;53,6;67,1;14,2;14,2;42,6;124,9;20,8;20,8;47,3;58,5;22,4;22,4;72,5;109,2;28,3;28,3;66,4;47,1;20,3;20,3;20,2;0;17,9;17,9;24,9;31;14,1;14,1;9,8;53,4;10,3;10,3;19,2;0;8,2;8,2;23,5;0;7,4;7,4;13,7;0;5,6;5,7;8,9;0;3,2;3,2;13;7;1,8;1,8;8,3;10;1,8;1,8;15,5;9,8;3,1;3,1;17,9;12,2;4;4,2
80+;18;0;17,8;17,8;26,8;0;23,7;23,7;106,1;146,8;24,1;23,8;69,8;71,7;23,5;23,5;25,9;0;22,6;22,6;60;111,7;17,6;17,3;8,5;0;12,9;12,9;8,4;0;10,1;10,1;16,5;0;10,4;10,4;16,2;0;6,7;6,7;15,9;0;3,2;3,2;0;27;1;1;0;0;1,6;1,6;29,9;0;3,2;2,9;21,7;0;3,9;3,9;6,9;13,8;6,5;6,6
12+;115,9;55,5;18,4;18,4;167,8;104,1;26,1;26;228,6;118,3;35,8;35,9;323,9;139,3;42,4;42,3;358,8;130;43,7;41,6;355;134,5;45,4;38,6;303,3;136;41,3;34,7;236,5;173,3;40,7;32,1;169,8;153,9;30,4;24,6;189,8;209,3;37;28,6;123,2;137,5;21,3;19,1;72;70,1;9,7;8,1;37,1;24,5;4,2;3,3;45,6;24,2;5,6;4,3;76,9;35,2;7;5,6;121,8;48,1;9,6;8,7
