Aldersgruppe;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt
12-15;222;10;17;17;162;13;16;14;171;14;8;6;148;12;4;3;183;29;16;8;330;75;25;15;493;126;37;10;590;155;30;1;483;173;17;1;444;102;6;0;344;68;0;0;317;33;0;0;278;19;0;0;194;18;0;0;106;2;0;0;67;0;0;0
16-19;75;4;70;70;76;4;28;28;57;7;33;33;61;3;14;12;111;5;38;34;131;24;53;52;221;33;71;67;290;41;99;83;336;73;122;85;341;138;130;64;288;271;146;52;228;304;95;28;240;501;128;18;173;409;21;3;144;282;2;1;54;48;1;1
20-29;306;19;190;190;231;17;138;137;209;15;90;84;209;17;109;106;311;44;157;154;404;55;192;169;602;86;199;165;798;165;291;209;1055;395;355;220;991;571;403;238;1007;1022;402;198;902;1077;260;156;1371;1611;246;194;1038;901;125;113;663;407;46;37;326;121;10;5
30-39;283;31;247;240;216;27;191;186;183;23;164;160;173;28;131;127;285;53;174;161;373;69;228;203;496;146;261;212;607;187;263;176;588;270;206;120;561;323;115;93;457;353;109;98;395;286;61;61;641;296;110;105;554;97;62;59;353;29;30;28;230;9;18;9
40-49;157;15;390;389;132;14;274;274;109;8;210;210;90;6;159;159;128;24;219;216;202;39;346;339;303;53;454;436;287;86;335;300;287;128;344;267;283;176;238;174;211;185;193;116;124;204;128;70;117;295;90;46;96;241;45;37;68;152;13;12;80;86;2;2
50-59;65;3;307;304;83;3;211;209;53;4;156;155;49;4;128;126;75;12;184;180;95;6;278;277;136;20;292;291;129;20;281;276;131;32;232;226;129;37;201;193;86;35;167;157;54;37;120;97;68;76;169;112;43;119;107;43;27;92;47;16;16;64;11;7
60-69;28;4;215;215;22;7;146;146;20;4;100;100;15;3;105;105;30;4;130;130;26;0;170;170;38;4;172;171;34;10;191;191;35;3;147;145;21;5;125;124;26;12;99;98;11;5;72;69;16;6;58;52;12;6;46;40;5;10;17;14;4;9;13;8
70-79;5;1;176;176;6;3;119;119;7;2;128;128;6;1;83;83;4;2;116;116;8;1;115;115;12;2;148;148;12;0;109;109;4;0;101;100;5;1;70;70;2;0;60;60;4;0;38;38;4;0;36;36;3;0;30;30;0;0;17;17;1;0;9;9
80+;2;3;78;78;4;2;50;50;3;0;75;75;2;0;48;48;3;0;67;67;11;2;68;67;9;1;64;64;3;0;63;63;7;2;46;46;0;0;36;36;1;0;24;24;1;0;31;31;2;0;19;19;1;0;8;8;0;1;3;3;0;0;4;4
12+;1143;90;1690;1679;932;90;1173;1163;812;77;964;951;753;74;781;769;1130;173;1101;1066;1580;271;1475;1407;2310;471;1698;1564;2750;664;1662;1408;2926;1076;1570;1210;2775;1353;1324;992;2422;1946;1200;803;2036;1946;805;550;2737;2804;856;582;2114;1791;444;333;1366;975;175;128;778;337;68;45
