Aldersgruppe;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt
12-15;319,2;86,2;10;10,3;227,8;89,2;9,7;8,8;233,4;70,9;5;4;194,8;44,1;2,7;2,2;229,7;75,4;12;7,4;387,9;126,5;23,2;20,3;524,6;149,8;49,8;25,9;561,9;141,8;77,3;9,9;398;141,3;164;44,1;292,5;101,2;255,4;0;184,4;100,5;0;0;139,5;118,4;0;0;114,8;140,1;0;0;77,2;300;0;0;41,2;214,1;0;0;25,9;0;0;0
16-19;231,1;88;33;33,1;231,1;78,3;13,2;13,3;170,2;118,4;15,7;15,8;178,3;43,3;6,7;5,8;314,9;60,4;18,4;16,7;357,4;240,5;25,9;26;577;257,4;35,5;34,8;718,7;232,8;51,4;46,2;793,4;259;67,7;54;765,4;285,9;82,5;52;610,2;338,1;117,5;75,9;448,1;229,5;137,2;123,6;434,3;286;563;238,6;267;227;277;69,8;171,2;171,1;46,1;25,1;48,2;34,7;24,6;26,7
20-29;196,3;103,7;35,8;36,2;146,4;83,2;26,2;26,3;130,6;62,7;17,2;16,3;128,2;60,2;21,1;21,1;186,5;126,3;30,8;32,1;235;114,3;38,9;38,4;336,9;111,1;43,1;44,4;426,2;126,1;72,2;72,9;534,7;174,7;117,4;101,3;470,9;192,9;182,2;155,1;426,4;305,1;255,2;203,6;317,5;311,9;261,9;213,6;382,8;540,6;333,5;278;224,8;453,2;176,6;168,4;128,2;276,2;66,8;60,2;56,2;136;15,2;9,5
30-39;209,6;182,2;48,8;48,1;157,8;136,8;38;37,8;131,4;93,3;33;33,2;121,8;90,8;26,8;27,4;195,9;129,5;36,6;37,7;248,1;113,2;50,5;54,9;314,6;146,7;64,2;78,4;362,8;113,2;79,4;97,9;327,9;95,4;101,8;98,6;282,8;94,4;91,7;93,7;192,9;107,4;107,6;110,5;131,8;103;67,9;71,2;156,8;172,4;127,6;125,4;107,4;145,7;73,2;73,1;64,4;76,4;36,3;37,7;40,1;53,6;22,6;14,1
40-49;206,8;207,7;63,5;63,5;172,2;174,4;44,6;44,8;140,5;85,6;34,3;34,5;114,3;54,9;26,1;26,2;159,7;182,7;36,1;36;246,3;232,8;57,4;57,2;358,5;233,5;76,4;76;328,3;244,1;57,9;56,1;316,5;184,7;63,5;55,8;299,4;143,4;49,2;45,5;211,1;89,3;49;46,4;114,6;61;49,5;48;97,9;68;60,3;43,9;64,4;53,6;42,7;39,9;34,9;36,4;13,9;13,3;28,5;25,8;2,2;2,3
50-59;122,8;68,3;43,6;43,2;155,6;63,9;29,9;29,7;98,4;77;22,2;22;89,9;69,6;18,2;17,9;135,8;185,6;26,2;25,7;169,5;80,5;39,7;39,7;237,8;227,2;41,8;41,9;220,9;180,6;40,4;40,1;219,6;199,3;33,6;33,1;211,5;170,6;29,4;28,9;136,9;105,1;25;24,9;82,7;56,6;18,9;18,4;100,2;47,6;31,5;29,4;59,5;40;27,2;20,6;35;19,5;21,7;12,7;18,4;11,6;8,7;6,3
60-69;96,7;191,4;34,9;34,9;75,5;313,1;23,7;23,7;68,1;161,2;16,2;16,2;50,5;109,9;17;17;99,9;138,7;21,1;21,1;85,5;0;27,6;27,6;122,8;110,6;28;27,9;108,1;222,2;31,1;31,2;109,5;48,8;24;23,8;64,6;68,1;20,5;20,4;78,3;135,1;16,3;16,2;32,2;40,8;11,9;11,6;45,5;31,8;9,7;9,1;32,6;16;8;7,8;13,1;11,5;3,2;3,3;10;5,2;3;2,5
70-79;30,4;97;32,3;32,3;36,2;275,5;21,8;21,8;41,8;166;23,4;23,5;35,5;77,4;15,2;15,2;23,4;145,1;21,2;21,2;46,3;67,4;21,1;21,1;68,3;126,4;27,1;27,1;67,3;0;20;20;22,2;0;18,5;18,4;27,3;35,3;12,8;12,9;10,7;0;11;11;21;0;7;7;20,6;0;6,6;6,7;15;0;5,5;5,6;0;0;3,2;3,2;4,7;0;1,7;1,7
80+;22,3;346,8;29,6;29,7;44,1;221,7;19;19;32,6;0;28,4;28,5;21,4;0;18,2;18,2;31,8;0;25,4;25,4;115,4;179,9;25,7;25,3;93;87,3;24,2;24,2;30,7;0;23,7;23,8;70,7;135,3;17,3;17,3;0;0;13,5;13,6;9,8;0;9;9;9,7;0;11,6;11,7;19;0;7,1;7,1;9,3;0;3;3;0;33,4;1,1;1,1;0;0;1,5;1,5
12+;198,4;134,2;40,6;40,5;159,8;117,2;28,3;28,2;137;82,4;23,3;23,2;124,6;64,4;19;19;182,5;117,3;27,1;27;247,1;130;37;37;345,5;151,1;44;43,8;390,2;139,2;45,3;42,6;389,8;142,5;46,9;39,3;337,8;143,4;42,8;34,9;260;182,6;41,9;31,5;185,3;162;31,4;24,4;207,8;219,4;37,6;28,7;133,6;143,9;21,7;18,8;78,1;72,9;9,7;8,1;39,6;25,5;4,2;3,1
