Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  15.274 (49);  16.069 (51);  31.343
10-19;  31.900 (49);  32.819 (51);  64.719
20-29;  38.763 (49);  40.477 (51);  79.240
30-39;  26.436 (50);  26.335 (50);  52.771
40-49;  27.280 (53);  24.524 (47);  51.804
50-59;  23.211 (51);  22.610 (49);  45.821
60-69;  11.620 (49);  12.280 (51);  23.900
70-79;   6.966 (50);   7.097 (50);  14.063
80-89;   3.901 (57);   2.915 (43);   6.816
90+;   1.452 (71);     604 (29);   2.056
I alt; 186.803 (50); 185.730 (50); 372.533
