Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld vaccineeffekt;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld vaccineeffekt;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld vaccineeffekt;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld vaccineeffekt;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld vaccineeffekt;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld vaccineeffekt;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld vaccineeffekt
Uge 42;1402773;69599;4397344;4375577;1287107;57445;4179839;4161339;3751;141;4713;4698;78399;4323;309696;308385;90785;4910;343520;342042;75;1;37;37;89;8;142;142
Uge 41;1408073;74440;4387783;4360655;1292810;61644;4172647;4149320;2500;83;2394;2385;81622;4718;217324;215449;96336;5434;244314;242193;37;1;14;14;73;3;83;82
Uge 40;1413490;80665;4376351;4337724;1299214;67177;4164153;4130677;2216;90;1691;1678;57535;3485;159940;158455;67678;4002;179111;177430;32;0;18;16;52;2;54;54
Uge 39;1419456;91621;4360217;4305512;1307043;76907;4151978;4104090;1716;90;1173;1159;50238;3351;149057;147275;59100;3841;165669;163642;25;0;9;8;38;4;42;42
Uge 38;1427177;109969;4334328;4260699;1317657;93529;4131214;4065796;1432;77;964;951;51131;4276;147439;145093;59507;4853;162020;159346;16;0;6;6;33;2;54;54
Uge 37;1437062;133513;4301293;4192646;1330374;115068;4104009;4005492;1294;74;781;763;54133;5891;160377;156580;62568;6744;176765;172471;17;0;11;10;38;5;44;43
Uge 36;1450125;168285;4253920;4061291;1345900;147556;4063208;3885291;1906;173;1101;1056;69721;9325;192330;183338;80710;10675;213615;203468;40;2;8;8;85;9;59;57
Uge 35;1469741;232624;4171265;3867100;1366563;208488;3988904;3704244;2664;272;1475;1374;94691;16416;213817;196071;112726;19246;242583;222128;56;5;16;13;125;13;48;45
Uge 34;1499529;340510;4034139;3540856;1396117;311836;3862601;3398051;3997;471;1698;1493;128545;30006;246616;209797;156429;35935;283213;239883;82;5;12;11;128;11;59;59
Uge 33;1537274;512576;3824660;3255762;1432443;477019;3666515;3129910;4461;664;1662;1334;119163;43184;210717;167596;146809;52767;246441;194533;101;2;11;9;150;13;58;55
Uge 32;1583957;803282;3487950;3014849;1478379;755267;3349906;2903022;4150;1076;1570;1117;98309;62219;168543;135008;117352;74046;193798;154147;102;3;14;11;119;29;37;34
Uge 31;1657770;1000209;3217571;2711064;1549383;943303;3095225;2615247;3619;1353;1324;887;101540;87692;155169;117219;117495;102845;175822;131602;85;7;6;3;72;14;36;34
Uge 30;1773099;1128428;2975434;2405593;1659226;1066054;2866327;2323936;3056;1946;1200;700;111578;111148;139190;94365;129542;131304;157679;105866;75;10;12;9;68;21;23;21
Uge 29;1948511;1269927;2658825;2155865;1826044;1201346;2565727;2084803;2488;1947;805;482;142619;142503;121350;79226;166865;168555;136336;88561;45;8;4;3;66;12;18;14
Uge 28;2175774;1348943;2352988;1885805;2043137;1278160;2273892;1826123;3121;2804;857;543;200111;176792;109792;72404;239322;215966;126481;83248;56;18;15;13;68;15;17;15
Uge 27;2452684;1310565;2114638;1678255;2307824;1245075;2045506;1626964;2346;1791;444;308;258305;166182;96454;64079;311145;201275;109775;72698;49;10;6;6;41;11;8;6
