Aldersgruppe;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt
12-15;1,5;0;0;0;0;0;0;0;2,8;0;0;0;0;0;0,6;0,7;0;0;0;0;0;0;0;0;1,2;0;0;0;4,7;0;0;0;3,2;1,2;0;0;1,9;0;0;0;3,3;0,8;0;0;1,3;0;0;0;0;1,5;0;0;0,4;0;0;0;0;0;0;0;0,4;0;0;0
16-19;9,4;0;0,5;0,5;3,1;0;0,5;0,5;6,1;0;0,5;0,5;0;19,6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;8,1;0;0;0;12,9;0;0,5;0,5;14,7;0;0,5;0;7;3,5;0,6;0,8;4,4;2,1;0;0;2,1;0;0;0;5,8;0;1,4;11,9;1,8;0;0;0;1,5;0,6;0;0
20-29;11,6;6,2;0,2;0,2;5,1;0;0,2;0,2;6,3;0;0,8;0,8;5,6;4,9;0,2;0,2;1,9;0;0,6;0,6;2,4;0;0,4;0,4;11,3;5,7;0,4;0,4;10,4;4,2;0,6;0,5;10;1,3;0,2;0,3;18,5;0;0;0;12,6;3,5;0,3;0,6;9,9;1;0;0;8,4;0,9;0,6;1,3;6,7;2,3;1;1,4;4,7;2,3;2,7;2,9;3,7;2;1,4;0
30-39;12,8;27,9;1,4;1,4;13,4;0;0,8;0,6;9,6;0;0,2;0,2;3,6;5,1;0,4;0,4;5;4,1;0;0;6,3;6,5;0,4;0,2;10,2;2,4;0,4;0,2;20,5;3,3;0,4;0,3;25,2;3;0,5;0,9;19;3;0,6;1,5;16,6;2,5;0,5;0;6,5;0,9;0,8;1,1;6,7;1,8;1;1,2;6;1,1;0;0;5,6;1,2;1,2;1,2;1,9;0;0;0
40-49;21,3;15,8;1,8;1,8;18,5;0;1,3;1,3;11,8;0;0,5;0,5;7,8;0;0,2;0,2;5,1;0;0,2;0,2;7,6;9,1;0,5;0,5;26,1;22,8;0,8;0,8;27,9;11,9;0,5;0,5;22,4;13,2;0,5;0,5;30,7;5,7;1,4;1,4;23;13;0,9;0,7;11,6;3,3;1,9;2,5;13,9;2,9;1;1,8;12;0,3;1,2;0;5;0,9;0;0;2;0,9;0;0
50-59;17,1;0;1,4;1,4;20,8;24,2;1,3;1,3;13,2;22,8;0,6;0,6;13,1;0;0,6;0,6;9,2;0;0,4;0,4;20,1;0;0,1;0,1;16,2;15,5;1,1;1,1;28,4;40,2;0,7;0,7;17,4;22,7;0,7;0,7;30,7;18;0,9;0,9;16,7;12,5;0,7;0,7;16,3;4,6;0,3;0,3;9,5;15;0,7;0,7;4,6;0;0;0;14,7;0,6;0,4;0,4;4,1;0,7;0,5;0,8
60-69;20,9;0;3,1;3,1;20,8;51,3;1,5;1,5;10,3;0;1,5;1,5;17,1;0;1,1;1,1;13,6;40,3;1;1;13,4;36,6;1,1;1,1;26,5;34,7;1,3;1,3;36;30,9;0,8;0,8;32,2;27,6;1,3;1,3;28,5;66,6;2,3;2,1;28;16,3;0,8;0,8;9,2;27,2;0,8;0,8;9;0;0,3;0,3;14,6;0;0,5;0,3;5,7;5,3;0,2;0,2;5,4;0;0;0
70-79;49;0;6,2;6,2;18,3;0;5,9;5,9;18,2;0;1,8;1,8;24,1;0;2,7;2,7;23,9;0;3,1;3,1;0;77,1;2;2;17,5;72,3;2,6;2,6;28,9;67,1;2,2;2,2;56,8;0;4;4;22,4;0;2,9;2,9;5,5;0;1,8;1,8;16,4;0;1,1;1,1;10,7;0;0,9;0,9;5,2;0;0,4;0,4;5,1;0;1,3;1,1;0;0;0,7;0,7
80+;44,7;251,9;22,4;22,4;100;120,8;7,2;7,2;11,1;116,4;8,3;8,3;10,9;111,7;4,2;4,2;21,6;0;9,1;9,1;0;0;6,8;6,8;31,6;0;7,5;7,2;93,7;180,8;6,8;6,4;61,5;0;6,4;6,4;30,4;78,6;4,1;4,1;40,1;0;3,4;3,4;0;0;4,9;4,9;0;0;1,9;1,9;9,6;0;3;3;0;0;1,5;1,5;9,2;0;0,4;0,4
12+;14,4;13,9;3,4;3,4;12,2;4,9;2;2;8,6;3;1,3;1,3;6,3;5,2;1;1;5;2,1;1,3;1,3;5,6;4,3;1,1;1,1;12,7;6,1;1,5;1,5;18,6;6,2;1,2;1,2;18;3,5;1,5;1,7;19,1;2,7;1,6;1,8;14,1;3,8;1,1;1,2;7,9;1,5;1,2;1,3;6,6;2;0,8;0,9;5,8;1;0,7;0,7;4,5;1,2;0,7;0,8;2,4;0,9;0,4;0,4
