Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  21.483 (49);  22.624 (51);  44.107
10-19;  39.042 (49);  39.847 (51);  78.889
20-29;  44.187 (49);  45.648 (51);  89.835
30-39;  32.365 (51);  31.325 (49);  63.690
40-49;  33.600 (52);  30.459 (48);  64.059
50-59;  27.497 (50);  27.074 (50);  54.571
60-69;  14.521 (49);  15.097 (51);  29.618
70-79;   9.221 (49);   9.428 (51);  18.649
80-89;   4.580 (56);   3.572 (44);   8.152
90+;   1.554 (70);     678 (30);   2.232
I alt; 228.050 (50); 225.752 (50); 453.802
