Aldersgrupper;Klassifikation;Antal nyindlæggelser;Andel nyindlæggelser (i aldersgruppe)
0-9;Covid-19 diagnose;922;0,5498
0-9;Luftvejs- eller obsdiagnose;207;0,1234
0-9;Anden diagnose;548;0,3268
10-19;Covid-19 diagnose;385;0,3869
10-19;Luftvejs- eller obsdiagnose;54;0,0543
10-19;Anden diagnose;556;0,5588
20-29;Covid-19 diagnose;1339;0,5476
20-29;Luftvejs- eller obsdiagnose;92;0,0376
20-29;Anden diagnose;1014;0,4147
30-39;Covid-19 diagnose;2100;0,6263
30-39;Luftvejs- eller obsdiagnose;80;0,0239
30-39;Anden diagnose;1173;0,3498
40-49;Covid-19 diagnose;2365;0,7333
40-49;Luftvejs- eller obsdiagnose;97;0,0301
40-49;Anden diagnose;763;0,2366
50-59;Covid-19 diagnose;2990;0,7635
50-59;Luftvejs- eller obsdiagnose;127;0,0324
50-59;Anden diagnose;799;0,2040
60-69;Covid-19 diagnose;2961;0,7977
60-69;Luftvejs- eller obsdiagnose;122;0,0329
60-69;Anden diagnose;629;0,1695
70-79;Covid-19 diagnose;4205;0,8412
70-79;Luftvejs- eller obsdiagnose;130;0,0260
70-79;Anden diagnose;664;0,1328
80+;Covid-19 diagnose;4347;0,8507
80+;Luftvejs- eller obsdiagnose;173;0,0339
80+;Anden diagnose;590;0,1155
