Uge;Aldersgruppe;Klassifikation;Procent af indlæggelser
uge 1 2022;0-59;Covid-19 diagnose;52,1
uge 2 2022;0-59;Covid-19 diagnose;53,9
uge 3 2022;0-59;Covid-19 diagnose;49,3
uge 4 2022;0-59;Covid-19 diagnose;44,2
uge 5 2022;0-59;Covid-19 diagnose;39,8
uge 6 2022;0-59;Covid-19 diagnose;41,1
uge 7 2022;0-59;Covid-19 diagnose;41,3
uge 8 2022;0-59;Covid-19 diagnose;33,1
uge 1 2022;60+;Covid-19 diagnose;71,8
uge 2 2022;60+;Covid-19 diagnose;70,8
uge 3 2022;60+;Covid-19 diagnose;68,6
uge 4 2022;60+;Covid-19 diagnose;66,7
uge 5 2022;60+;Covid-19 diagnose;64,6
uge 6 2022;60+;Covid-19 diagnose;63,1
uge 7 2022;60+;Covid-19 diagnose;63,3
uge 8 2022;60+;Covid-19 diagnose;59,6
uge 1 2022;0-59;Luftvejs- eller obsdiagnose;3,7
uge 2 2022;0-59;Luftvejs- eller obsdiagnose;4,0
uge 3 2022;0-59;Luftvejs- eller obsdiagnose;5,7
uge 4 2022;0-59;Luftvejs- eller obsdiagnose;4,9
uge 5 2022;0-59;Luftvejs- eller obsdiagnose;5,3
uge 6 2022;0-59;Luftvejs- eller obsdiagnose;4,7
uge 7 2022;0-59;Luftvejs- eller obsdiagnose;5,5
uge 8 2022;0-59;Luftvejs- eller obsdiagnose;5,2
uge 1 2022;60+;Luftvejs- eller obsdiagnose;3,8
uge 2 2022;60+;Luftvejs- eller obsdiagnose;3,9
uge 3 2022;60+;Luftvejs- eller obsdiagnose;2,6
uge 4 2022;60+;Luftvejs- eller obsdiagnose;4,4
uge 5 2022;60+;Luftvejs- eller obsdiagnose;6,6
uge 6 2022;60+;Luftvejs- eller obsdiagnose;4,6
uge 7 2022;60+;Luftvejs- eller obsdiagnose;4,1
uge 8 2022;60+;Luftvejs- eller obsdiagnose;6,1
uge 1 2022;0-59;Anden diagnose;44,2
uge 2 2022;0-59;Anden diagnose;42,1
uge 3 2022;0-59;Anden diagnose;45,0
uge 4 2022;0-59;Anden diagnose;50,8
uge 5 2022;0-59;Anden diagnose;54,9
uge 6 2022;0-59;Anden diagnose;54,2
uge 7 2022;0-59;Anden diagnose;53,2
uge 8 2022;0-59;Anden diagnose;61,7
uge 1 2022;60+;Anden diagnose;24,4
uge 2 2022;60+;Anden diagnose;25,3
uge 3 2022;60+;Anden diagnose;28,8
uge 4 2022;60+;Anden diagnose;28,8
uge 5 2022;60+;Anden diagnose;28,8
uge 6 2022;60+;Anden diagnose;32,2
uge 7 2022;60+;Anden diagnose;32,6
uge 8 2022;60+;Anden diagnose;34,3
