Dato;Aldersgruppe;Nyindlæggelser pr. dag
2022-01-03;0-59;140
2022-01-04;0-59;90
2022-01-05;0-59;93
2022-01-06;0-59;99
2022-01-07;0-59;86
2022-01-08;0-59;82
2022-01-09;0-59;95
2022-01-10;0-59;116
2022-01-11;0-59;126
2022-01-12;0-59;136
2022-01-13;0-59;147
2022-01-14;0-59;121
2022-01-15;0-59;115
2022-01-16;0-59;140
2022-01-17;0-59;170
2022-01-18;0-59;178
2022-01-19;0-59;144
2022-01-20;0-59;154
2022-01-21;0-59;163
2022-01-22;0-59;155
2022-01-23;0-59;160
2022-01-24;0-59;206
2022-01-25;0-59;184
2022-01-26;0-59;200
2022-01-27;0-59;213
2022-01-28;0-59;171
2022-01-29;0-59;158
2022-01-30;0-59;156
2022-01-31;0-59;200
2022-02-01;0-59;204
2022-02-02;0-59;225
2022-02-03;0-59;230
2022-02-04;0-59;215
2022-02-05;0-59;175
2022-02-06;0-59;184
2022-02-07;0-59;252
2022-02-08;0-59;258
2022-02-09;0-59;250
2022-02-10;0-59;202
2022-02-11;0-59;225
2022-02-12;0-59;163
2022-02-13;0-59;184
2022-02-14;0-59;220
2022-02-15;0-59;216
2022-02-16;0-59;212
2022-02-17;0-59;211
2022-02-18;0-59;166
2022-02-19;0-59;153
2022-02-20;0-59;150
2022-02-21;0-59;192
2022-02-22;0-59;184
2022-02-23;0-59;158
2022-02-24;0-59;163
2022-02-25;0-59;145
2022-02-26;0-59;91
2022-02-27;0-59;106
2022-01-03;60+;80
2022-01-04;60+;87
2022-01-05;60+;61
2022-01-06;60+;70
2022-01-07;60+;50
2022-01-08;60+;40
2022-01-09;60+;61
2022-01-10;60+;69
2022-01-11;60+;74
2022-01-12;60+;53
2022-01-13;60+;53
2022-01-14;60+;58
2022-01-15;60+;50
2022-01-16;60+;59
2022-01-17;60+;79
2022-01-18;60+;62
2022-01-19;60+;70
2022-01-20;60+;70
2022-01-21;60+;60
2022-01-22;60+;57
2022-01-23;60+;76
2022-01-24;60+;85
2022-01-25;60+;109
2022-01-26;60+;82
2022-01-27;60+;85
2022-01-28;60+;85
2022-01-29;60+;72
2022-01-30;60+;88
2022-01-31;60+;128
2022-02-01;60+;131
2022-02-02;60+;128
2022-02-03;60+;117
2022-02-04;60+;140
2022-02-05;60+;115
2022-02-06;60+;123
2022-02-07;60+;177
2022-02-08;60+;152
2022-02-09;60+;179
2022-02-10;60+;197
2022-02-11;60+;175
2022-02-12;60+;118
2022-02-13;60+;160
2022-02-14;60+;232
2022-02-15;60+;218
2022-02-16;60+;220
2022-02-17;60+;239
2022-02-18;60+;200
2022-02-19;60+;142
2022-02-20;60+;195
2022-02-21;60+;281
2022-02-22;60+;207
2022-02-23;60+;223
2022-02-24;60+;218
2022-02-25;60+;205
2022-02-26;60+;144
2022-02-27;60+;152
